NUTS_BN_CODE,NUTS_CODE
9168,UKJ42
9169,UKJ2
9169,UKJ22
9169,UKJ4
9169,UKJ42
9170,UKJ2
9170,UKJ23
9170,UKJ4
9170,UKJ42
9171,UKJ41
9171,UKJ42
9172,UKJ41
9172,UKJ42
9173,UKK11
9173,UKK12
9174,UKG
9174,UKG1
9174,UKG11
9174,UKK
9174,UKK1
9174,UKK13
9175,UKG
9175,UKG1
9175,UKG12
9175,UKK
9175,UKK1
9175,UKK13
9176,UKG
9176,UKG1
9176,UKG13
9176,UKK
9176,UKK1
9176,UKK13
9177,UKJ
9177,UKJ1
9177,UKJ14
9177,UKK
9177,UKK1
9177,UKK13
9178,UKK12
9178,UKK13
9179,UKJ
9179,UKJ1
9179,UKJ14
9179,UKK
9179,UKK1
9179,UKK14
9180,UKK13
9180,UKK14
9181,UKJ
9181,UKJ1
9181,UKJ11
9181,UKK
9181,UKK1
9181,UKK15
9182,UKJ
9182,UKJ1
9182,UKJ14
9182,UKK
9182,UKK1
9182,UKK15
9183,UKJ
9183,UKJ3
9183,UKJ33
9183,UKK
9183,UKK1
9183,UKK15
9184,UKK12
9184,UKK15
9185,UKK13
9185,UKK15
9186,UKK14
9186,UKK15
9187,UKJ
9187,UKJ3
9187,UKJ33
9187,UKK
9187,UKK2
9187,UKK22
9188,UKK1
9188,UKK15
9188,UKK2
9188,UKK22
9189,UKK21
9189,UKK22
9190,UKK1
9190,UKK12
9190,UKK2
9190,UKK23
9191,UKK1
9191,UKK15
9191,UKK2
9191,UKK23
9192,UKK22
9192,UKK23
9193,UKK2
9193,UKK22
9193,UKK4
9193,UKK43
9194,UKK2
9194,UKK23
9194,UKK4
9194,UKK43
9195,UKK3
9195,UKK30
9195,UKK4
9195,UKK43
9196,UKK41
9196,UKK43
9197,UKK42
9197,UKK43
9198,UKL12
9198,UKL13
9199,UKL12
9199,UKL14
9200,UKL15
9200,UKL16
9201,UKL14
9201,UKL17
9202,UKL15
9202,UKL17
9203,UKL14
9203,UKL18
9204,UKL17
9204,UKL18
9205,UKG
9205,UKG1
9205,UKG11
9205,UKL
9205,UKL2
9205,UKL21
9206,UKK
9206,UKK1
9206,UKK13
9206,UKL
9206,UKL2
9206,UKL21
9207,UKL1
9207,UKL16
9207,UKL2
9207,UKL21
9208,UKL1
9208,UKL15
9208,UKL2
9208,UKL22
9209,UKL1
9209,UKL16
9209,UKL2
9209,UKL22
9210,UKL1
9210,UKL17
9210,UKL2
9210,UKL22
9211,UKL21
9211,UKL22
9212,UKD
9212,UKD6
9212,UKD63
9212,UKL
9212,UKL2
9212,UKL23
9213,UKG
9213,UKG2
9213,UKG22
9213,UKL
9213,UKL2
9213,UKL23
9214,UKL1
9214,UKL13
9214,UKL2
9214,UKL23
9215,UKG
9215,UKG1
9215,UKG11
9215,UKL
9215,UKL2
9215,UKL24
9216,UKG
9216,UKG2
9216,UKG22
9216,UKL
9216,UKL2
9216,UKL24
9217,UKL1
9217,UKL12
9217,UKL2
9217,UKL24
9218,UKL1
9218,UKL13
9218,UKL2
9218,UKL24
9219,UKL1
9219,UKL14
9219,UKL2
9219,UKL24
9220,UKL1
9220,UKL15
9220,UKL2
9220,UKL24
9221,UKL1
9221,UKL16
9221,UKL2
9221,UKL24
9222,UKL1
9222,UKL17
9222,UKL2
9222,UKL24
9223,UKL21
9223,UKL24
9224,UKL23
9224,UKL24
9225,UKC
9225,UKC2
9225,UKC21
9225,UKM
9225,UKM2
9225,UKM24
9226,UKD
9226,UKD1
9226,UKD12
9226,UKM
9226,UKM2
9226,UKM24
9227,UKM23
9227,UKM24
9228,UKM23
9228,UKM25
9229,UKM24
9229,UKM25
9230,UKM21
9230,UKM27
9231,UKM22
9231,UKM27
9232,UKM26
9232,UKM27
9233,UKM24
9233,UKM28
9234,UKM25
9234,UKM28
9235,UKM26
9235,UKM28
9236,UKM2
9236,UKM27
9236,UKM3
9236,UKM31
9237,UKD
9237,UKD1
9237,UKD12
9237,UKM
9237,UKM3
9237,UKM32
9238,UKM2
9238,UKM24
9238,UKM3
9238,UKM32
9239,UKM32
9239,UKM33
9240,UKM31
9240,UKM34
9241,UKM33
9241,UKM35
9242,UKM34
9242,UKM35
9243,UKM2
9243,UKM26
9243,UKM3
9243,UKM36
9244,UKM2
9244,UKM27
9244,UKM3
9244,UKM36
9245,UKM2
9245,UKM28
9245,UKM3
9245,UKM36
9246,UKM31
9246,UKM36
9247,UKM34
9247,UKM36
9248,UKM32
9248,UKM37
9249,UKM33
9249,UKM37
9250,UKM2
9250,UKM24
9250,UKM3
9250,UKM38
9251,UKM2
9251,UKM28
9251,UKM3
9251,UKM38
9252,UKM32
9252,UKM38
9253,UKM33
9253,UKM38
9254,UKM34
9254,UKM38
9255,UKM35
9255,UKM38
9256,UKM36
9256,UKM38
9257,UKM2
9257,UKM21
9257,UKM5
9257,UKM50
9258,UKM2
9258,UKM27
9258,UKM5
9258,UKM50
9259,UKM2
9259,UKM27
9259,UKM6
9259,UKM62
9260,UKM5
9260,UKM50
9260,UKM6
9260,UKM62
9261,UKM61
9261,UKM62
9262,UKM2
9262,UKM27
9262,UKM6
9262,UKM63
9263,UKM3
9263,UKM31
9263,UKM6
9263,UKM63
9264,UKM3
9264,UKM31
9264,UKM6
9264,UKM63
9265,UKM3
9265,UKM31
9265,UKM6
9265,UKM63
9266,UKM61
9266,UKM63
9267,UKM62
9267,UKM63
9268,UKN01
9268,UKN02
9269,UKN01
9269,UKN02
9270,UKN01
9270,UKN03
9271,UKN02
9271,UKN03
9272,UKN02
9272,UKN03
9273,UKN02
9273,UKN03
9274,IE
9274,IE0
9274,IE01
9274,IE011
9274,UK
9274,UKN
9274,UKN0
9274,UKN04
9275,UKN03
9275,UKN04
9276,IE
9276,IE0
9276,IE01
9276,IE011
9276,UK
9276,UKN
9276,UKN0
9276,UKN05
9277,UKN03
9277,UKN05
9278,UKN04
9278,UKN05
9279,ES
9279,ES6
9279,ES61
9279,ES612
9280,ES
9280,ES6
9280,ES61
9280,ES612
9281,ES
9281,ES6
9281,ES63
9281,ES630
9282,ES
9282,ES6
9282,ES64
9282,ES640
9283,FR
9283,FR8
9283,FR82
9283,FR823
9284,FR
9284,FR8
9284,FR82
9284,FR823
9285,HR
9285,HR0
9285,HR03
9285,HR037
9286,HR
9286,HR0
9286,HR03
9286,HR037
9287,ME
9287,ME0
9287,ME00
9287,ME000
9288,NO
9288,NO0
9288,NO07
9288,NO073
9289,FI
9289,FI1
9059,UKF2
9059,UKF22
9059,UKF3
9059,UKF30
9060,UKF2
9060,UKF25
9060,UKF3
9060,UKF30
9061,UKG11
9061,UKG12
9062,UKF
9062,UKF2
9062,UKF22
9062,UKG
9062,UKG1
9062,UKG13
9063,UKF
9063,UKF2
9063,UKF24
9063,UKG
9063,UKG1
9063,UKG13
9064,UKG12
9064,UKG13
9065,UKD
9065,UKD6
9065,UKD62
9065,UKG
9065,UKG2
9065,UKG22
9066,UKD
9066,UKD6
9066,UKD63
9066,UKG
9066,UKG2
9066,UKG22
9067,UKG1
9067,UKG11
9067,UKG2
9067,UKG22
9068,UKG1
9068,UKG12
9068,UKG2
9068,UKG22
9069,UKG21
9069,UKG22
9070,UKD
9070,UKD6
9070,UKD62
9070,UKG
9070,UKG2
9070,UKG24
9071,UKF
9071,UKF1
9071,UKF13
9071,UKG
9071,UKG2
9071,UKG24
9072,UKF
9072,UKF2
9072,UKF22
9072,UKG
9072,UKG2
9072,UKG24
9073,UKG1
9073,UKG12
9073,UKG2
9073,UKG24
9074,UKG1
9074,UKG13
9074,UKG2
9074,UKG24
9075,UKG21
9075,UKG24
9076,UKG22
9076,UKG24
9077,UKG22
9077,UKG24
9078,UKG23
9078,UKG24
9079,UKG1
9079,UKG12
9079,UKG3
9079,UKG31
9080,UKG1
9080,UKG13
9080,UKG3
9080,UKG31
9081,UKG2
9081,UKG24
9081,UKG3
9081,UKG31
9082,UKG1
9082,UKG12
9082,UKG3
9082,UKG32
9083,UKG1
9083,UKG13
9083,UKG3
9083,UKG32
9084,UKG1
9084,UKG13
9084,UKG3
9084,UKG32
9085,UKG31
9085,UKG32
9086,UKG1
9086,UKG13
9086,UKG3
9086,UKG33
9087,UKG32
9087,UKG33
9088,UKG1
9088,UKG12
9088,UKG3
9088,UKG36
9089,UKG2
9089,UKG24
9089,UKG3
9089,UKG36
9090,UKG31
9090,UKG36
9091,UKG31
9091,UKG37
9092,UKG36
9092,UKG37
9093,UKG2
9093,UKG24
9093,UKG3
9093,UKG38
9094,UKG31
9094,UKG38
9095,UKG37
9095,UKG38
9096,UKG2
9096,UKG24
9096,UKG3
9096,UKG39
9097,UKG36
9097,UKG39
9098,UKG37
9098,UKG39
9099,UKG38
9099,UKG39
9100,UKF
9100,UKF2
9100,UKF25
9100,UKH
9100,UKH1
9100,UKH11
9101,UKF
9101,UKF3
9101,UKF30
9101,UKH
9101,UKH1
9101,UKH11
9102,UKF
9102,UKF2
9102,UKF25
9102,UKH
9102,UKH1
9102,UKH12
9103,UKF
9103,UKF3
9103,UKF30
9103,UKH
9103,UKH1
9103,UKH12
9104,UKH11
9104,UKH12
9105,UKF
9105,UKF3
9105,UKF30
9105,UKH
9105,UKH1
9105,UKH13
9106,UKH12
9106,UKH13
9107,UKH12
9107,UKH14
9108,UKH13
9108,UKH14
9109,UKH1
9109,UKH12
9109,UKH2
9109,UKH23
9110,UKH21
9110,UKH23
9111,UKF
9111,UKF2
9111,UKF25
9111,UKH
9111,UKH2
9111,UKH24
9112,UKH1
9112,UKH12
9112,UKH2
9112,UKH24
9113,UKH1
9113,UKH12
9113,UKH2
9113,UKH25
9114,UKH21
9114,UKH25
9115,UKH23
9115,UKH25
9116,UKH23
9116,UKH25
9117,UKH24
9117,UKH25
9118,UKH1
9118,UKH12
9118,UKH3
9118,UKH33
9119,UKH1
9119,UKH14
9119,UKH3
9119,UKH33
9120,UKH2
9120,UKH23
9120,UKH3
9120,UKH33
9121,UKH31
9121,UKH33
9122,UKH32
9122,UKH33
9123,UKI11
9123,UKI12
9124,UKI11
9124,UKI12
9125,UKH
9125,UKH2
9125,UKH23
9125,UKI
9125,UKI2
9125,UKI21
9126,UKH
9126,UKH3
9126,UKH32
9126,UKI
9126,UKI2
9126,UKI21
9127,UKH
9127,UKH3
9127,UKH33
9127,UKI
9127,UKI2
9127,UKI21
9128,UKI1
9128,UKI12
9128,UKI2
9128,UKI21
9129,UKI1
9129,UKI12
9129,UKI2
9129,UKI21
9130,UKI1
9130,UKI11
9130,UKI2
9130,UKI22
9131,UKI1
9131,UKI12
9131,UKI2
9131,UKI22
9132,UKI21
9132,UKI22
9133,UKH
9133,UKH2
9133,UKH23
9133,UKI
9133,UKI2
9133,UKI23
9134,UKI1
9134,UKI11
